tick,n_transacted,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
103,2,20.28,20.26,20.27,20.28,20.22,20.27,20.34,0.0,0.0,0.0
