tick,n_open_orders,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.26,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.26,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.26,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.26,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.26,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.26,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.26,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.26,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.26,20.21,20.22,20.23,20.2,20.22,20.33,6800.0,20.314705882352943,-0.09470588235294386,-1823.0
119,0,20.26,20.21,20.22,20.23,20.2,20.22,20.33,6800.0,20.314705882352943,-0.09470588235294386,-1823.0
119,0,20.26,20.21,20.22,20.23,20.2,20.22,20.33,6800.0,20.314705882352943,-0.09470588235294386,-1823.0
119,0,20.26,20.21,20.22,20.23,20.2,20.22,20.33,6800.0,20.314705882352943,-0.09470588235294386,-1823.0
119,0,20.27,20.24,20.27,20.3,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.24,20.27,20.3,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.24,20.27,20.3,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.24,20.27,20.3,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.24,20.27,20.3,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
